"title","developer","summary","appId","description","score","ratings","size","min installs","max installs","last updated","version","contentRating","url","price"
"SoberBuddy: Addiction Recovery","SoberBuddy Corporation","N/A","com.soberbuddy.yoursoberbuddy","SoberBuddy: Get sober with an accountability program that works! Trusted by over 30,000.

Battling habits and addiction is never easy. That’s why SoberBuddy is designed with CBT techniques that are proven to work.   

Whether you’re kicking drinks or drugs to the curb - SoberBuddy is here for you no matter where you are in your journey.


HIGHLIGHTS

   • Sober Tracker
   • Challenges
   • Daily check-ins
   • Inspirational quotes & motivation 
   • Tips & advice from professionals
   • Celebrate progress


PROVEN TO WORK  

55% of our community said that SoberBuddy has helped them get sober!

SoberBuddy offers so many evidence-based techniques that are proven to keep you sober 30% longer than treatment as usual.


JOURNAL

Log your progress towards an alcohol-free lifestyle in a private, judgment-free zone where all of your information and data is 100% confidential. 


SOBER TRACKER & MOTIVATION

SoberBuddy is the cheerleader and reminder in your pocket. 

Our Sober Tracker keeps count of your daily progress and serves as an exciting reminder about how far you’ve come. 

SoberBuddy will also give you the motivation you need to reach your goals! 


PERSONALIZED FOR ALL

Let your SoberBuddy know where you are in your life when you first sign up and you’ll see which route you should take going forward.

Whether you want to quit a bad habit or win your battle with addiction, SoberBuddy is here for you.


CHALLENGES

SoberBuddy is packed with mini-challenges to help you stay focused every day. 

You’ll receive daily prompts to practice mindfulness and stay two steps ahead in your road to recovery. 


RELAPSE

No one is perfect. If you relapse, SoberBuddy will be right behind you.   

Make a note of the date and get right back on your feet. We’ll provide the tools and encouragement to get you immediately back on track.


INVEST IN YOURSELF

SoberBuddy Premium is $9.99/mo. Try it out! We promise the value stretches a lot longer than a bottle of wine.

By purchasing a monthly subscription, you’re not only investing in yourself – you’re helping us build a company that aspires to change millions of lives. 


7-DAY FREE TRIAL

SoberBuddy is free to use - what are you waiting for?  

Every journey begins with a single step. Start yours today!

https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",4.8,230,"100.71M","N/A","N/A","2022-05-06","1.1.8","17+","https://apps.apple.com/us/app/soberbuddy-addiction-recovery/id1513623844?uo=4",0
"Sober Sidekick: Quit Drinking","Chris Thompson","N/A","com.HI-Assistant.SideKick2","You’re never alone.

Sober Sidekick is a sobriety and recovery app for those who are struggling with addiction or are in recovery from alcohol or drugs. Join our growing sober social media community of 90,000+ users and receive guidance and support during this critical time.

Addiction is fed in isolation; immerse yourself in an understanding, judgement-free social network full of others who are on the path to recovery too and remember, you’re not alone in this.

Count your days sober with our Sobriety Tracker feature. Whether it’s minutes, hours, days, weeks or even years - celebrate every second. Count the days clean, keep a record and accomplish goals: one day, 30 days, 60 days and more.

Sober social media features within the app will help you create your support system. Share struggles and wins in anonymous posts, lend support through comments or empathy badges (likes) and even message users directly. Connection is key on the road to recovery.

Sober Sidekick offers recovery resources like a direct line to a 24/7 AA and NA meeting, motivational content and blogs to give you encouragement and a sober social network that all has the same goal - to quit addiction and seek recovery.

Join a community that supports one another and receive the support you need to get through the day with Sober Sidekick.

SOBER SIDEKICK FEATURES:

Sober Community:
- Recovery isn’t easy; connect with accountability partners to stay on track with sobriety goals
- Connection is key; support is available every time you reach out, guaranteed!
- Sobriety app gives you everything you need to keep moving forward

Sobriety Tracker:
- Count days sober (then weeks, months & years)
- Sobriety counter helps you track days clean
- Track your sober time and hit milestones

Sober Social Network:
- Share social media posts, comments, and empathy badges (likes)
- Anonymous post features keep your identity private
- Send instant messages with your sober social network

Recovery Resources:
- Connect with professional Addiction Counselors
- 24/7 AA and NA meetings via Zoom
- Get sober perspectives through motivational content and blogs- The more you engage, the more motivated & supported you become
- Unlock motivations and find what works for you: AA, NA, Recovery Dharma, SMART Recovery and more!

USERS ARE SAYING:

""Sober Sidekick gets an A from me. New to sobriety, it feels good to know I’m not alone. Some people have no hope even after a day or hour or minute sober without alcohol. This app makes it easy to seek help from others. As you read their stories, (and share your own)...you established your own community, and nothing but growth comes out of it!”

""I haven’t been on Sober Sidekick very long and 3 days sober doesn’t seem like a long time but I don’t think I would have made through day 1 without finding this incredible community.”

""Sober Sidekick has provided me hope. Being able to sign in and see hundreds of people within the same amount of sober days as you makes me feel like I’m not ever alone with how I’m feeling. Also being able to see people with the amount of sobriety that you dream of having one day gives me sense of direction and proves that one day I CAN get that happiness and self fulfilling love without the use of substances. This app has been my safe place.""

""I have been using Sober Sidekick for a few hours and for the first time in years I actually feel hope. It’s practically a miracle. The amount of sober support is incredible. My higher power sent me here today, when I needed it most. I am so grateful.”

Sobriety Support and Inspiration
“I have been a part of this sober community for almost 2 months! Everyone is so wonderful and supportive. Whether I post something positive or not so positive, these people are there with a hand to hold. Its just another great support system. I’m very thankful to have this app in my life through my recovery”
---
Terms of Use: https://drive.google.com/file/d/1ds-ry8cR3Sr8NTox1EtiYN7Xt7Rfw2DD/view?usp=sharing",4.7781,2731,"34.30M","N/A","N/A","2022-06-06","5.7.3","17+","https://apps.apple.com/us/app/sober-sidekick-quit-drinking/id1448251580?uo=4",0
"SoberTool - Addiction Recovery","Blitzen, LLC","N/A","com.osu.cleanandsober","AWARD WINNING, TOP RATED BY HEALTHLINE.COM. AND CHOOSING THERAPY.COM. COUNTS CLEAN AND SOBER TIME AND MONEY SAVED! GREAT REWARDS! HELPFUL MESSAGES! COMMUNITY FORUM! RELAPSE PREVENTION TOOL! TEACHES YOU HOW TO THINK AND ACT LIKE A SOBER PERSON. YOU ARE NEVER ALONE WHEN YOU NEED HELP BECAUSE IT IS RIGHT IN YOUR POCKET! WORKS WITH ANY ADDICTION OR BAD HABIT!

This Upgrade gives you:

* Top rated SOBRIETY COUNTER that not only calculates days clean and sober, but also MONEY you have saved! 
*  REWARDS for the time you have stayed clean and sober! 
*  Quick daily motivational MESSAGES and NOTIFICATIONS to remind you to read them.
*  A great SEARCH ENGINE. Just type in one word to describe how you currently feel and it will lead you to answers to deal with those feelings so that you feel better and don't relapse!
* A PROCESS TO AVOID RELAPSING if you have a craving. Just answer its simple questions and it will lead you to an answer to an issue that is RELEVANT TO WHAT YOU ARE CURRENTLY EXPERIENCING. It helps change relapse thinking to recovery thinking. No other recovery book or app is designed to do this. All you have to do is follow its simple prompts to get a reading relevant to where you are right now!  
* A CHAT FORUM where you can anonymously share your personal messages, comments and get support from others.
* A PROCESS to improve the quality of your sobriety if you are new or have been clean and sober for a long time.

Developed by a Harvard educated Licensed Chemical Dependency and Certified Alcoholism Counselor with over 32 years clean and sober and a team from The Ohio State University, this app is based on proven techniques to help you stay clean and sober. It doesn't matter whether it's alcohol, food, sex, cocaine, marijuana, gambling, spending, heroin, the internet, or anything else, SoberTool gives you free, immediate help. It actually trains coping skills.    

THIS APP IS FOR YOU IF YOU:                          
- are new to sobriety and need an easy tool to beat cravings and triggering thoughts related to alcoholism and addiction.
- have been clean and sober for awhile but still feel stress.
- just completed alcoholism and addiction inpatient or outpatient treatment and want a tool to help you with continuing care.
- want to stay sober for your family, friends or YOURSELF.
- have struggled staying clean and sober before.
- want a tool to help you when you can't reach a Sponsor, support person, therapist, or get to a 12 Step meeting.
- have had legal or any kind of trouble as a result of alcohol, drugs, or addictive behaviors.
- must stay sober per an Employee Assistance Program, court, professional assistance program, employer, school, licensing bureau, etc. 
-feel stuck in your recovery and want to have fun while staying sober.
- need help making wise decisions that won't jeopardize your sobriety.
         
This App has also been useful for treatment centers, alcoholism and addiction counselors, psychiatrists, and 12 Step Sponsors for the alcoholic or addict who need a resource for finding answers to common issues experienced by the alcoholic and addict.
Some of the materials contain theories related to cognitive behavioral therapy and 12 Step practice. It also contains slogans commonly heard at 12 Step meetings. Please note this App is not a substitute for alcoholism and addiction treatment and 12 Step meetings!           
	RECOVERING ALCOHOLICS AND ADDICTS: Please try this app and get fast, relevant help when you need it most!
	This app respects your privacy, does not require you to give any personal information, and has minimal app permissions! It will not invade your contact list. 
        	
         
DISCLAIMER:  None of the information in this App creates a counselor patient relationship or should substitute for any other forms of therapy. The User waives the right to make claims against  Author for any misinterpretations or any harm claimed from the use of this App. This App is not therapy or treatment.",4.70258,3564,"34.21M","N/A","N/A","2021-08-18","4.3.3","4+","https://apps.apple.com/us/app/sobertool-addiction-recovery/id863872931?uo=4",0
"NA Speaker Tapes & Addiction Recovery Audio","Kepler47 Software Inc.","N/A","com.pitashi.readradio.naspeakers","Listen to over 200 NA speaker tapes from NA meetings around the world -- 100% Satisfaction Guarantee - contact us with any issues and we'll resolve them or refund your money.

-------------------

NOTE: You get 12 free speaker recordings and much more NA audio content for free. Unlock and download hundreds more hours of amazing NA content from within the app!

* NA Steps & Traditions
* Daily Readings & Reflections
* How to Live Clean
* NA Stories of Recovery
* Al-Anon Speaker Tapes
* Alcoholics Anonymous Speaker Tapes
* 12 Step Workshops
* Sober Meditations and Prayers

And much more... over 100 hours of recovery audio content!

-------------------

This app is not affiliated, endorsed or otherwise approved by NA or Narcotics Anonymous World Services. Original text content is copyright its respective owner.

--------

The content in this app is freely available online. You are paying for our hard work to hand curate a selection of great content and organize it in a high quality mobile app for your enjoyment and convenience.

--------------------

We offer auto-renewing subscriptions as well a one-time unlock fee via in-app purchase. Details about our subscriptions for Audiojoy content are:

* 1 Month (auto renews every month) for $3.99
* 3 Month (auto renews every 3 months) for $6.99
* Payment will be charged to iTunes Account at confirmation of purchase
* Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
* No cancellation of the current subscription is allowed during active subscription period
* Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication. 

Please read our privacy policy and terms of use: http://audiojoy.co/terms",4.81862,2481,"24.57M","N/A","N/A","2017-08-25","3.6.1","17+","https://apps.apple.com/us/app/na-speaker-tapes-addiction-recovery-audio/id1018096532?uo=4",0
"Sugarfree Quit Sugar Addiction","Matthew Simms","N/A","com.sugarfree.app","Wether you are no added sugar, or no sugars or trying to reduce your daily intake with one small step at a time, we can help you on your journey to be sugar free.

Many adults eat much more sugar than necessary, so reducing added sugar intake is a healthful idea for most people. Some people may wish to take it a step further and cut sugar out of their diet entirely. Sober tracking and sobriety monitoring helps keep yourself aware of the positive affecting with a sugar-free diet. 

Mounting evidence continues to show a number of positive health outcomes from cutting back on added sugars, including a reduction in the risk for obesity, type 2 diabetes, coronary heart disease, metabolic syndrome, and non-alcoholic fatty liver disease

Sugarfree is completely free too use

Milestone sober tracker
Track and celebrate your milestones from 1 day, to 1 week, to 1 month and beyond.

Daily motivation 
Receive advice and inspiration messages to help keep you motivated and focused on removing any need to eat sugary food ever again.

Monitor Symptoms
Day by day analysis of difficulties and positives while you progress on your sugar-free journey. 

Sober Tracker
Monitor each sober passing day. Reset if you break a streak or skip a cheat day! 

Food and Calorie Tracker
Setting aside the common taste for sugar, there is sugar hiding in many foods (some of them quite unexpected). Distinguishing added sugars from natural sugars can be difficult. Track how many calories and sugars foods you eat have. Scan, Search or create your own

Weight Tracker
Log changes in your weight to visually see the changes week over week.

Resources to help you on your journey
Read useful tips & tricks to help you achieve the best outcome when starting to become sugar free

Sugarfree is available as a monthly subscription or a one-time purchase. Your iTunes account will be charged at confirmation of purchase. The subscription will automatically renew unless auto-renew is turned off at least 24 hours before the end of the billing period. You can goto your iTunes Account Settings to manage your subscription and turn off auto-renew. To restore all you previous purchases use the ""Restore Purchases"" button at the button of the premium purchase screen.

Terms and Conditions: https://sugarfree-ios.carrd.co/#terms

Privacy Policy: https://www.freeprivacypolicy.com/live/227e90ed-11b5-40d4-afe6-b65f47d19274",4.59999,210,"74.42M","N/A","N/A","2022-06-01","1.3.6","4+","https://apps.apple.com/us/app/sugarfree-quit-sugar-addiction/id1557550593?uo=4",0
"Turn – Addiction Recovery","Impact Collective","N/A","com.impact.turn","Are drugs and alcohol affecting your mental health? What about your self-esteem or your relationships? Studies have found that substance abuse can lead to depression, anxiety, stress, and ruined relationships.

Deeper healing and more lasting recovery is possible. Free yourself from chemical dependency and equip yourself with tools, education, lifestyle coaching, teletherapy, and a community of others who know what you’re going through, to assist you in moving toward lasting freedom and sobriety.

Through research-based principles of therapeutic lifestyle change, our mission is to help spark an uprising among people who are tired of drugs messing with their lives – and ready for something better.

Based on your personalized assessment, Turn provides videos and challenges to help you learn new skills and guide your progress. Sleek tracking features, analytics, and customizable goals and habit tracking ensure you celebrate your victories and learn from your mistakes.

Connect with others through community, accountability partners, lifestyle coaching, teletherapy, and more.

Here's what our users have to say:

""I just passed my 365 day sober mark. Thanks for all you folks do!""

""Honestly this has been amazing. I dove into recovery head first and already my life is being put back together. I'm currently celebrating 30 days and feeling so much love. All thanks to Turn, and of course my higher power. My struggles have been few and far between and the number of good days far outweigh the bad.""

""I'm really enjoying the program so far. I'm surprised for much new stuff I'm learning. I thought that being in 12 step programs for a while would have taught me mostly everything there is to know about sobriety and recovery. There has been so much gold in this app so far. I look forward to continuing to learn.""

Got feedback? Any questions? Contact us at info@jointurn.com

Privacy Policy [https://www.jointurn.com/privacy](https://www.jointurn.com/privacy)

Terms & Conditions [https://www.jointurn.com/terms](https://www.jointurn.com/terms)",4.62821,78,"65.13M","N/A","N/A","2022-05-25","2022.05.23","12+","https://apps.apple.com/us/app/turn-addiction-recovery/id1373353624?uo=4",0
"SoberTool+ Addiction Recovery","Blitzen, LLC","N/A","com.osu.cleanandsoberPro","NO ADVERTISING! MANY NEW MESSAGES! IMPROVED FEATURES! 

TOP RATED BY HEALTHLINE.COM. & CHOOSING THERAPY.COM. COUNTS CLEAN AND SOBER TIME AND MONEY SAVED! GREAT REWARDS! HELPFUL MESSAGES! COMMUNITY FORUM! RELAPSE PREVENTION TOOL! TEACHES YOU HOW TO THINK AND ACT LIKE A SOBER PERSON. YOU ARE NEVER ALONE WHEN YOU NEED HELP BECAUSE IT IS RIGHT IN YOUR POCKET! WORKS WITH ANY ADDICTION OR BAD HABIT!

This Upgrade gives you so much:

* Top rated SOBRIETY COUNTER because it not only calculates days clean and sober, but it also calculates the MONEY you have saved! 
*  REWARDS for the time you have stayed clean and sober! 
*  Quick daily motivational MESSAGES and NOTIFICATIONS to remind you to read them.
*  A great SEARCH ENGINE. Type a word to describe how you feel and it will lead you to answers to deal with those feelings so that you feel better and don't relapse!
* A PROCESS TO AVOID RELAPSING if you have a craving. Just answer its simple questions and it will lead you to an answer to an issue that is RELEVANT TO WHAT YOU ARE CURRENTLY EXPERIENCING. It helps change relapse thinking to recovery thinking. No other recovery book or app is designed to do this. All you have to do is follow its simple prompts to get a reading relevant to where you are right now!  
* A FORUM where you can anonymously share your personal messages, comments and get support from others.
* A PROCESS to improve the quality of your sobriety if you are new or have been clean and sober for a long time.

Developed by a Harvard educated Licensed Chemical Dependency and Certified Alcoholism Counselor with over 32 years clean and sober and The Ohio State University, this app is based on proven techniques to help you stay clean and sober. It doesn't matter whether it's alcohol, food, sex, cocaine, marijuana, gambling, spending, heroin, the internet, or anything else, SoberTool gives you immediate help. It actually trains coping skills.    

THIS APP IS FOR YOU IF YOU:                          
- are new to sobriety and need an easy tool to beat cravings and triggering thoughts related to alcoholism and addiction.
- have been clean and sober for awhile but still feel stress.
- just completed alcoholism and addiction inpatient or outpatient treatment and want a tool to help you with continuing care.
- want to stay sober for your family, friends or YOURSELF.
- have struggled staying clean and sober before.
- can't reach a Sponsor, support person, therapist, or get to a 12 Step meeting.
- have had legal or any trouble as a result of alcohol, drugs, or addictive behaviors.
- must stay sober per an Employee Assistance Program, court, professional assistance program, employer, school, licensing bureau, etc. 
-feel stuck in your recovery and want to have fun while staying sober.
- need help making wise decisions that won't jeopardize your sobriety.
         
This App has also been useful for treatment centers, alcoholism and addiction counselors, psychiatrists, and 12 Step Sponsors for the alcoholic or addict who need a resource for finding answers to common issues experienced by the alcoholic and addict.
Some of the materials contain theories related to cognitive behavioral therapy and 12 Step practice. It also contains slogans commonly heard at 12 Step meetings. Please note this App is not a substitute for alcoholism and addiction treatment and 12 Step meetings!           
	RECOVERING ALCOHOLICS AND ADDICTS: Please try this app and get fast, relevant help when you need it most!
	This app respects your privacy, does not require you to give any personal information, and has minimal app permissions! It will not invade your contact list. 
        	
         
DISCLAIMER:  None of the information in this App creates a counselor patient relationship or should substitute for any other forms of therapy. The User waives the right to make any claims against  Author for any misinterpretations or any harm claimed from the use of this App. This App is not therapy or treatment.",4.75197,254,"29.27M","N/A","N/A","2021-04-01","4.3.0","12+","https://apps.apple.com/us/app/sobertool-addiction-recovery/id1078632750?uo=4",3.99
"Fortify – Quit Porn For Good","Impact Collective","N/A","com.impact.fortify","Is porn affecting your mental health? What about your self-esteem or your relationships? Studies have found that compulsive pornography use can lead to depression, anxiety, stress, and worse sexual performance.

If you are struggling to quit compulsive sexual habits, Fortify is here to equip you with tools, education, lifestyle coaching, teletherapy, and a community of others who know what you’re going through, to assist you in moving forward in your fight toward lasting freedom.

It's more than just a band-aid or a filter. Through research-based principles of therapeutic lifestyle change, our mission is to help spark an uprising among people who are tired of porn messing with their lives – and ready to stop and turn toward something better.

Based on your personalized assessment, Fortify provides videos and challenges to help guide your progress. Sleek tracking features, analytics, and customizable goal tracking ensure you celebrate your victories and learn from your mistakes.

And these science-based methods work! But don’t take our word for it.

Our users have had this to say:

""There is no shaming, just calm but direct encouragement and understanding...""

""The app helps you celebrate small milestones. It's important to celebrate progress, not perfection, when dealing with addiction.""

""Fortify does not tell you, ‘Oh you need to try harder.’ It takes your porn addiction seriously, and actually gives you tools and inspiration to help you get through a rough time.""

""Not only Fortify helped me with nofap and staying away from porn, the app has also kept me more organized with my goals! I've been studying and exercising more which has lifted my mood!""

You're not alone. Join tens of thousands from around the world using Fortify to find healing and recovery from sexual compulsivity.

Feedback? Questions? Contact us at info@joinfortify.com

Privacy Policy https://www.joinfortify.com/privacy

Terms & Conditions

https://www.joinfortify.com/terms",4.78712,2997,"65.06M","N/A","N/A","2022-05-25","2022.05.23","12+","https://apps.apple.com/us/app/fortify-quit-porn-for-good/id1304648824?uo=4",0
"LOOSID: Sober Social Network","Loosid App LLC","N/A","com.surgebrandpartners.loosid","The sober social network & addiction recovery app. Live sober, love sober.
 
Featured in Forbes, Today, People, NY Times, Good Morning America, and more!

You don’t have to be face to face to socialize! Joining and getting involved in our positive, vibrant community is a great way to stay connected during these turbulent times.

Meet your new community on LOOSID.  We’ve all got our reasons to explore life on the sober side. Whether you’re a sober evangelist, simply curious about the lifestyle, in recovery and in need of support, or in it for any other reason: you’ve found your people.

Our ever-growing community is ready for you to join its ranks! Sobriety is better experienced together - that’s why we created LOOSID.
  
LOOSID is the guide to living sober, whether you want to: find amazing experiences around the world or in your local area, connect with other members or date other sober singles. LOOSID also offers recovery and emergency support for those who need it most.

We’re continuously growing our amazing community across the US. Don’t worry if you’re not currently in one of our high expansion areas. You can still download LOOSID and get access to sober events, travel and hotlines for extra support.

HIGHLIGHTS
 
LOOSID will support you in all aspects of your journey:
- Sober curious? Discover all the ways sobriety can better your everyday life. 
- Being sober is a game changer - let it transform your love life too! 
- In recovery? You can keep track of it and connect with others who are going through the same experience. 
 
EVENTS
 
LOOSID, IRL! Discover the social side of sobriety: you’ll find local events you can attend as you’re reinventing your lifestyle, or just more of what you already love to do. 

Once you’ve entered your location, we’ll show you events happening nearby. You can even create your own event – help us bring the community together!  
 
GUIDES
 
Your clean lifestyle helper! You’ll find a repertoire of local restaurants that offer sober-friendly options and mocktails: now you know where to take your LOOSID match on a date! 

If you’re traveling, you’ll also be able to find options you can get on board with, all around the world.

DATING

* We’re actively growing our dating pool! Not enough members in your area? Don’t worry - we’re doing our best to add more members!

Start a new chapter of your life with LOOSID and meet a like-minded match! Reinvent your love life and connect with locals who share your values and lifestyle. Scroll through your local community and start chatting once you both like each other. Who knows? You could find a partner to take on this wonderful journey with you!

RECOVERY TOOLS

We’re here for you every step of the way! You can select a sobriety date if that’s the path you’re on, track your progress and celebrate your milestones.

If you’re in a crisis or an emergency situation, use our hotline for immediate help and support. Remember, in this community we take it one day at a time.   
Take time to reassess your sobriety. Are you all in? New to the game? Thinking about it, or just curious? Wherever you stand, LOOSID is here and ready to support you. Keep track of your progress, chat with like-minded new friends and even find the one on LOOSID.

Meet up at sober-friendly events and discover your new favorite local place. Let LOOSID be a part of your journey and it’ll take your sobriety to new places you didn’t even know existed!

Notice

Our hotlines and community are here to connect and engage. Though you may see recommendations from our Boozeless Guides for Events, Restaurants and Travel, please follow the suggestions and mandates at the State and Federal level.

Download LOOSID, the Sober Social Network.

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",4.6434,4097,"86.96M","N/A","N/A","2022-05-27","3.12.6","17+","https://apps.apple.com/us/app/loosid-sober-social-network/id1413514350?uo=4",0
"Twenty-Four Hours a Day","BookMobile","N/A","com.bookmobile.iphone.twentyfourhoursaday","This best-selling app from Hazelden Publishing offers daily thoughts, meditations, and prayers for those in recovery from alcohol and other drugs.

Since 1954, the words of Twenty-Four Hours a Day have become a stable force in the recovery of many individuals throughout the world. With more than 6.5 million copies of the text in print, Twenty-Four Hours a Day offers guidance for those living without alcohol or other drugs. Millions rely on these words as a spiritual resource that has practical applications to fit the daily life of those in recovery.

Part of the Sanskrit proverb quoted in the app, “For yesterday is but a dream, and tomorrow is only a vision,” has become one of the basic building blocks for a life of sobriety. In addition to a thought, meditation, and prayer for each day of the year, this app also contains the Serenity Prayer, the Twelve Steps, and the Twelve Traditions of Alcoholics Anonymous. Twenty-Four Hours a Day is a simple yet effective aid to help anyone relate the Twelve Steps to everyday life and will help those in AA or NA find the power to stay sober.

Features:
PRESS the “Today” button to access today’s reading.
SWIPE forward or back to easily access more daily readings.
SHARE the daily reading with friends by e-mail or text.
BOOKMARK your favorite meditations (press the star in the upper right-hand corner) and easily return to them (press the star in the bottom toolbar).
SEARCH all 366 daily readings.
RECEIVE a notification every day to remind you to read the daily meditation.
JUMP to a specific reading using the calendar button.
SET your font size using your device settings.
CHOOSE between light or dark mode.",4.92799,15610,"19.28M","N/A","N/A","2021-08-23","2.2.11","4+","https://apps.apple.com/us/app/twenty-four-hours-a-day/id389029534?uo=4",0
