"title","developer","summary","appId","description","score","ratings","size","min installs","max installs","last updated","version","contentRating","url","price"
"Connections: from CHESS Health","Chess Mobile Health, Inc.","N/A","com.chessmh.achesscon","CONNECTIONS: from CHESS Health is an evidence-based mobile application designed and proven to provide ongoing support and relapse prevention to people recovering from substance-use-disorders.",4.33333,21,"98.61M","N/A","N/A","2022-05-12","2.9.66","12+","https://apps.apple.com/us/app/connections-from-chess-health/id1309079663?uo=4",0
"GOW Opioid Linkage to Care","Newbird LLC","N/A","com.newbirddesign.geneseeCountyApp","An app provided by Genesee County to get residents in touch with local help centers for opioid rehabilitation/training.",5,0,"3.58M","N/A","N/A","2020-10-02","1.0","4+","https://apps.apple.com/us/app/gow-opioid-linkage-to-care/id1509095429?uo=4",0
"Drug Addiction Test","Inquiry Health LLC","N/A","com.drug.addiction","Concerned about your substance use? This app helps you evaluate whether or not you may be addicted to drugs. It uses the Drug Abuse Screening Test, a validated screening questionnaire. 

Drug Addiction AKA Substance Abuse is a mental health disorder characterized by compulsive drug seeking & usage despite significant adverse consequences. 

While there are millions of drugs out there, the most common addictive drugs are opioids, tobacco, alcohol, marijuana, cocaine, heroin, benzodiazepines, and stimulants. 

Drug addiction is not a moral failure, but rather a disease that can be effectively treated with psychotherapy and medication, either inpatient or outpatient dependent on the severity. 

If you are concerned about your drug usage, it is important to seek treatment as soon as possible. Nearly 10% of the US population would benefit from treatment for a drug or alcohol use problem. Talk to your physician about treatment options. 

Disclaimer: This is NOT a diagnostic test. Please consult a mental health professional if you are concerned about your drug use. 

Skinner, H. A. (1982). The drug abuse screening test. Addictive behaviors, 7(4), 363-371.",4.7,10,"0.78M","N/A","N/A","2021-05-10","1.0.1","12+","https://apps.apple.com/us/app/drug-addiction-test/id1533201943?uo=4",0
"Manage Addiction Lifeline","Hope Road Productions LLC","N/A","com.manageaddiction.bouyant.production","WHY MANAGE ADDICTION LIFELINE?

Manage Addiction Lifeline is a user friendly mobile treatment application that allows those recovering from opioid addiction to stay active and in communication with their doctor.    The Manage Addiction Lifeline program includes weekly units designed by Dr. Rajiv Juneja, M.D., M.S., who is triple board certified in adult psychiatry, integrative medicine and addiction medicine. 
We will connect you to one of our doctors in person before you start the program.

KEY BENEFITS

Once you have met with one of our doctors, the Manage Addiction Lifeline is with you everyday via your mobile device so you can:
 
• Attend weekly video conferences with your doctor, therapist, life coach & fellowship group 
• Enter your daily health reports that guide your medical team to personalize your treatment 
• Work on Life Map Journaling so you know how you got here and what lies ahead
• Access hundreds of videos and articles to aid your recovery and maintain sobriety 
• Each lesson can be read or listened to at your own pace.  
• After each lesson a short quiz will ensure you are familiar with the content.
• Your progress is available for review by your doctors and therapists.

... All in the convenience and privacy of your own home. With the Manage Addiction Lifeline – you are never alone! 

WE ARE HERE FOR YOU!

Don’t wait, sign up today and let us connect you to one of our doctors in person.   

LISTEN TO PEOPLE WHO WE HAVE HELPED

Don’t Just Listen To Us, Listen To Real Patients Who Used Our Program:

“From day one on the Lifeline, I did not feel alone with my addiction anymore. Every single
day, I was communicating with my medical team – giving and getting so much valuable
information and insight on a daily basis.” —E.B., Orange NJ

“Sharing my daily life, past history and future hopes and dreams with my therapist through
guided journaling has really helped me discover my true self and become mindful of how I live
each day.” — L.C., Manhattan, NY

“Looking back, I can hardly believe how self-absorbed & deluded I was - dealing out the daily
lies & excuses to feed my addiction. Today, my relationships are more honest, open & caring.”
— E.P., Fort Lee, NJ

NOTE:  Manage Addiction Lifeline is not intended to be used as a stand-alone treatment device or to be used as a substitute for medication.   This app was created for the iPhone and is not designed to run properly on the iPad.",5,0,"170.93M","N/A","N/A","2020-06-03","1.7","17+","https://apps.apple.com/us/app/manage-addiction-lifeline/id1387186281?uo=4",0
"OpiRescue","RxAssurance Inc.","N/A","com.rxassurance.opirescue","OpiRescue provides information and a 5-step process for how to respond to an opioid overdose event.  The guidelines that OpiRescue offers have been developed by the US Substance Abuse and Mental Health Services Administration (SAMHSA).",3.2,5,"10.42M","N/A","N/A","2021-08-08","2.6","17+","https://apps.apple.com/us/app/opirescue/id1018614161?uo=4",0
"OpiRescue Delaware","RxAssurance Inc.","N/A","com.rxassurance.opirescue-de","OpiRescue Delaware is a free, state supported app that provides lifesaving step-by-step directions on how to use naloxone during an opioid overdose.  About 80 percent of all overdoses happen in a private residence, which is why friends, family members, and those struggling with opioid addiction are strongly encouraged to download this app.  The app contains detailed information on how to recognize signs of an overdose, and includes animations on how to provide rescue breathing and administer naloxone, an overdose reversing medication. Additionally, individuals can use the app to find the nearest available pharmacy carrying naloxone, which can be purchased without a prescription.  There is also an easy-to-navigate button, linking people to the state’s HelpIsHereDE.com website that provides resources for those struggling with addiction including, treatment, the crisis hotline, and syringe exchange information.  Lastly, individuals can report their opioid overdose rescue; no personal information will be collected.  This app is not intended to replace 9-1-1 emergency assistance.  Individuals are always encouraged to call 9-1-1 during an overdose.",5,0,"20.31M","N/A","N/A","2021-03-27","1.2.0","17+","https://apps.apple.com/us/app/opirescue-delaware/id1433325917?uo=4",0
"Quit Heroin Addiction Calendar","App Diggity, LLC","N/A","com.heroinaddiction.calendar","Heroin addiction is a real thing, and not many people are willing to admit that. Heroin is an illegal drug, but thanks to a culture that promotes these types of drugs, it is easy to see why people end up addicted to heroin. 
 
Quit Heroin Addiction Calendar addresses the need to quit heroin, and helps you become accountable for making the changes happen!
 
Features:
1. Use our counter to track your progress down to the second.
2. Create your own reasons to quit heroin, or use one of our scientifically based facts about quitting.
3. Change the look and feel of the app with our skins section to personalize the app to what you want.
4. Add reasons why you would like to see yourself succeed and stop heroin.
5. Our special panic button will help you send a text to a friend that may be able to help you and be an accountability partner.
6. Our badge system allows you to be rewarded for your success.
7. Our distractions section will help you take your mind off of heroin and introduce you to something more positive and soothing.
8. Our built in money calculator will show you how much money you have saved since quitting
9. Our motivational quotes and testimonials will ensure that you are not alone on this process to shake your heroin addiction. 
10. Our built in time counter will let you know how much time you save per day since quitting. 
 
Here are our top 10 reasons to quit heroin:
 
1. You will improve your physical and mental health
 
Heroin addiction destroys the physical body. You’ll feel sick all of the time, you’ll feel weak and you’ll likely spend more time curled up on the bathroom floor than anywhere else. Heroin addiction also does extensive damage to mental health. The National Institute on Drug Abuse states, “Repeated heroin use changes the physical structure and physiology of the brain, creating long-term imbalances in neuronal and hormonal systems that are not easily reversed.” 
 
2. Mended relationships with your family and friends. 
 
No one likes to be completely alone and isolated – as human beings, we need to form meaningful relationships with others in order to be truly happy. Active addiction separates us from those closest to us. It ruins the relationships we used to hold near and dear, relationships with our parents, our children, our siblings and our closest friends. Quitting heroin means that you’ll be able to work towards healing these damaged relationships. 
 
3. You won’t have to worry about legal issues anymore. 
 
The stress of heroin addiction takes many different forms, one of the most pervasive being ongoing legal issues. Heroin is an illicit drug, so any activity surrounding this specific chemical substance can get you in serious trouble with the law. However, many heroin addicts will start engaging in other criminal behavior in order to get more of the drug, such as theft.
 
4. You won’t have to worry about dying anymore.
 
In 2017, the National Institute on Drug Abuse reported that there were a total of 70,237 drug overdose deaths in the country. This number doesn’t include the thousands of men and women that died during a heroin overdose and were revived with Narcan.
 
5. You’ll actually be able to save money and spend it on things that matter.
 
Heroin addiction is costly, and when you’re physically addicted to a chemical substance you won’t be able to successfully budget your money (no matter how hard you try). You probably won’t think to yourself, “Hey, I got paid today! I’ll put half in savings, pay my phone bill and then spend whatever is left on some heroin.” 
 
Having an issue with heroin is not uncommon in modern society. Unfortunately heroin is a very addictive substance and can cause long term damage. Kick your heroin addiction by downloading Quit Heroin Addiction Calendar for FREE!
 
This app contains in app purchases.",5,0,"53.57M","N/A","N/A","2020-07-01","2.5","12+","https://apps.apple.com/us/app/quit-heroin-addiction-calendar/id1518151455?uo=4",0
"OperaVR Home Therapy","Bryan laskin","N/A","com.operavr.hometherapy","Anxiety effects over 18% of adults in the United States and, while highly 	treatable, only 36% receive treatment.  In addition to this, chronic pain, anxiety and substance abuse conditions are poorly managed today.

OperaVR provides therapeutic Virtual Reality experiences that reduce pain and anxiety in the comfort of your own home. Immersive environments help relieve suffering from those with pain, anxiety, PTSD and substance abuse.
 
OperaVR has been featured in dozens of articles and news stories, 	including CNN Business and is being used in healthcare practices across 	the country to melt away a primary barrier to people getting the care that they so sorely need. 

OperaVR’s quest is to reduce suffering wherever it exists.

Only recommended for iPhone 7 and above. Requires any Virtual Reality headset or Google Cardboard that fits your phone comfortably.

OperaVR recommends using the most up to date version for the iPhone  (iOS 12.4 and above).

OperaVR Software Subscription Terms of Use (https://digitalnitrous.com/pages/terms-and-conditions)",3.66667,0,"115.06M","N/A","N/A","2019-09-11","1.0","4+","https://apps.apple.com/us/app/operavr-home-therapy/id1472008298?uo=4",0
"S.A.R.A","IMATTER FOUNDATION, INC","N/A","com.SARA.SARA","The Substance Abuse Regional Alliance (SARA), in response to the national public health issue associated with addiction, seeks a collaborative multi-county/state approach that addresses not only current issues of epidemic proportions, but strategies to address root causes, prevention, treatment, recovery, and social determinants including but not limited to housing, healthcare, and reasonable access to services.",5,0,"93.43M","N/A","N/A","2019-08-06","1.0","17+","https://apps.apple.com/us/app/s-a-r-a/id1473980839?uo=4",0
"Freeman House","Kleer Health Technologies, LLC","N/A","com.nulife.freemanhouse","Clinicians can enhance the overall care experience, improve patient satisfaction and retention, boost patient referrals, increase reactivation of patients who’ve returned to problematic drug use, and bring online additional income streams while increasing efficiency and competitive advantage.

An enterprise can deliver a multi-featured, branded, mobile care APP that always meets people where they feel safe. Where they can make lasting life changes by having advanced tools and instant access to specialists in mental health and addiction treatment as well as a robust and supportive peer community ALL right from the palm of their hand. For life!

Address Client Retention Challenges with Consistent Points of Relevant Contact

People may cut short their treatment plan once they begin to feel better, without understanding why continuing care and continuity of care is so important to improved health.

With the Freeman House APP you can offer 24/7/365 real-time or periodic symptom assessments, pre-programmed reminders, and feedback specific to each patient.

Build Community and Connect People to Relevant and Powerful Stakeholders Where They Live

You get to leverage tech to create personalized community, conversation, and connection. People will have round the clock access to community professionals and peers, and holistic care content at the touch of a button. For life!

Improve Outcomes

What differentiates the Freeman House model is the belief that long-term recovery from addiction is tied to aspects of life that are beyond the reach of traditional treatment models.

The app will enhance connection by helping brick-and-mortar centers and their clients to form round-the-clock professional and peer community, seek round-the-clock care and support, and address social determinants of health all in the virtual world right from the palm of their hand on an app. For life!",0,0,"79.10M","N/A","N/A","2021-08-20","1.0.2","12+","https://apps.apple.com/us/app/freeman-house/id1562824341?uo=4",0
