"title","developer","summary","appId","description","score","ratings","size","min installs","max installs","last updated","version","contentRating","url","price"
"PursueCare","PursueCare","N/A","com.pursuecare.patientapp","PursueCare provides telehealth addiction recovery and mental health services. We offer judgment-free, comprehensive, and convenient virtual care for opioid, alcohol, and other substance use disorders as well as full psychiatry treatment for behavioral health conditions. 

You’ll receive immediate access to a team of addiction and mental health specialists, including physicians, psychiatric providers, counselors, and care coordinators. Treatment often begins the same day you sign up. Our in-house pharmacy can deliver any medication straight to your home. We accept most insurance (including Medicare and Medicaid) and offer low-cost self-pay programs.  

What You Get: 
 
1. Video appointments with clinicians who can prescribe medications such as Suboxone.  
2. Online individual and group addiction counseling and behavioral health therapy.  
3. A care team dedicated to supporting you on your journey. 
4. An in-house pharmacy that can ship low-cost medications directly to you.  
5. Access to the details of your treatment plan from your phone whenever you need. 
6. Ability to chat 24/7 with care team members right from the app.
   
Make It Happen:

1. Create an account and fill out your profile by answering some basic questions about yourself.
2. Meet with an intake specialist to complete your profile and set up your first appointment.
3. Have an initial appointment with a prescribing clinician who will assess your needs, write any necessary prescriptions, and create a personalized treatment plan.
4. Connect with your care coordinator who is there to help and support you.
5. Start your journey to better health and a better life.
 
What To Expect:
 
Treatment happens on your time, from wherever is convenient for you. You will have access to on-demand check-ins with your Care Coordinator, at-home drug screenings, self-assessments, regular therapy and MAT appointments, and group counseling sessions.  During these appointments, we encourage you to bring up any questions or concerns you might have. 

PursueCare does not let any third parties track user data and we do not disclose protected health information for any reason other than to facilitate care. We do not collect and sell any data to third parties for advertising or other similar purposes. We do not record patient visits, nor store data from patient video visits on their device.

PursueCare has earned The Joint Commission’s Gold Seal of Approval® for Accreditation by demonstrating continuous compliance with its performance standards.",4.5,18,"135.77M","N/A","N/A","2022-04-20","2.0.3","17+","https://apps.apple.com/us/app/pursuecare/id1546898669?uo=4",0
"Manage Addiction Lifeline","Hope Road Productions LLC","N/A","com.manageaddiction.bouyant.production","WHY MANAGE ADDICTION LIFELINE?

Manage Addiction Lifeline is a user friendly mobile treatment application that allows those recovering from opioid addiction to stay active and in communication with their doctor.    The Manage Addiction Lifeline program includes weekly units designed by Dr. Rajiv Juneja, M.D., M.S., who is triple board certified in adult psychiatry, integrative medicine and addiction medicine. 
We will connect you to one of our doctors in person before you start the program.

KEY BENEFITS

Once you have met with one of our doctors, the Manage Addiction Lifeline is with you everyday via your mobile device so you can:
 
• Attend weekly video conferences with your doctor, therapist, life coach & fellowship group 
• Enter your daily health reports that guide your medical team to personalize your treatment 
• Work on Life Map Journaling so you know how you got here and what lies ahead
• Access hundreds of videos and articles to aid your recovery and maintain sobriety 
• Each lesson can be read or listened to at your own pace.  
• After each lesson a short quiz will ensure you are familiar with the content.
• Your progress is available for review by your doctors and therapists.

... All in the convenience and privacy of your own home. With the Manage Addiction Lifeline – you are never alone! 

WE ARE HERE FOR YOU!

Don’t wait, sign up today and let us connect you to one of our doctors in person.   

LISTEN TO PEOPLE WHO WE HAVE HELPED

Don’t Just Listen To Us, Listen To Real Patients Who Used Our Program:

“From day one on the Lifeline, I did not feel alone with my addiction anymore. Every single
day, I was communicating with my medical team – giving and getting so much valuable
information and insight on a daily basis.” —E.B., Orange NJ

“Sharing my daily life, past history and future hopes and dreams with my therapist through
guided journaling has really helped me discover my true self and become mindful of how I live
each day.” — L.C., Manhattan, NY

“Looking back, I can hardly believe how self-absorbed & deluded I was - dealing out the daily
lies & excuses to feed my addiction. Today, my relationships are more honest, open & caring.”
— E.P., Fort Lee, NJ

NOTE:  Manage Addiction Lifeline is not intended to be used as a stand-alone treatment device or to be used as a substitute for medication.   This app was created for the iPhone and is not designed to run properly on the iPad.",5,0,"170.93M","N/A","N/A","2020-06-03","1.7","17+","https://apps.apple.com/us/app/manage-addiction-lifeline/id1387186281?uo=4",0
"Workit Health","Workit Health, Inc.","N/A","com.workithealth.workitapp","Workit Health offers clinically-proven virtual care for opioids, alcohol, meth, and cocaine addiction, and treatment for mental health issues like anxiety and depression. From the privacy of home, receive compassionate telemedicine care that’s covered by many types of insurance.

Workit Health is the industry-leading mental health and sobriety app, offering evidence-based treatment and long-term support for addiction, all for a fraction of the cost of traditional addiction treatment or psychiatric care. The program is covered by many insurance plans, making quality treatment more accessible and achievable for all, with a success rate that is double that of traditional methods. 

Clinical programs are available in certain states, and include:

- Opioid Withdrawal Support
- Suboxone Treatment for Opioid Use
- Naltrexone Treatment for Opioid or Alcohol Use
- At Home Alcohol Taper
- The Sinclair Method
- Clinical Care for Meth Addiction
- Meth Withdrawal Support
- Clinical Care for Cocaine Addiction
- Cocaine Withdrawal Support
- Mental Health Care for Anxiety and Depression

Online coaching for substances or behaviors nationwide, including:

- Alcohol
- Opioids
- Other Drugs
- Sex & Porn
- Gambling
- Disordered Eating
- Chronic Pain
- Smoking & Nicotine

Founded by two women in recovery tired of seeing their friends fall through the cracks of the traditional treatment system, Workit Health’s team is dedicated to helping members make lasting, positive change in their lives. Workit is safe, secure, and confidential. It is trusted by the National Institute on Drug Abuse, the National Science Foundation, and Fortune 500 companies. 

How does it work?
Download the Workit Health app – In just 5 minutes, have a personalized care plan including therapeutic courses, messaging with your care team, and medication when needed and available.

Talk to a clinician or counselor – Schedule your first appointment with your care team. Via in-app video conferencing, meet with an expert in your state who is dedicated to helping you succeed.

Pick up a prescription – When receiving clinical care, your clinician discusses the issue with you, answers questions, and recommends next steps. When clinically appropriate, prescriptions can be submitted to a local pharmacy of your choice.

Is insurance accepted?
Workit Health accepts many types of insurance for care. Our addiction recovery and mental health services are available with and without insurance. Check your coverage automatically upon signup.

Where is Workit Health available?
Online coaching for addiction is available in all 50 states. Clinical care with medication for addiction is available in select states. View our locations at workithealth.com/locations.

Is Workit Health effective? 
Workit Health’s outcomes surpass those of traditional treatment. A longitudinal analysis of Workit Health members over a 9-month period found that 82.29% of Workit members who remain in the program achieve adherence to Workit’s use guidelines after one month in the program—compared with only 28.85% upon starting with Workit Health.

After one month, 84.51% of Workit Health members are still engaged in the program. Workit Health members report lower anxiety, reduction of addictive behaviors, greater success in meeting their recovery goals, and an overall improvement in quality of life.

For our press coverage, visit workithealth.com/press.

Who are the Workit Health clinicians and counselors?
The Workit Health provider network is made up of licensed professionals across the U.S. who are devoted to harm reduction, addiction medicine, psychiatry, and patient-focused care. Our teams of Master’s level social workers, board-certified physicians, and licensed nurse practitioners specialize in helping people recover from psychiatric conditions and substance use disorders.",4.68208,497,"51.38M","N/A","N/A","2022-06-04","2.4.6","17+","https://apps.apple.com/us/app/workit-health/id1383957273?uo=4",0
"Groups Recover Together","Recover Together, Inc","N/A","com.groupsrecovertogether","Getting treatment for opioid addiction can feel shameful or scary. Groups is here to change that because we know the only thing harder than beating opioids is doing it alone. The Groups Recover Together mobile app takes the core components of the program -- such as treatment with medication (Suboxone), weekly group therapy, and support services -- and brings it to you in a virtual environment.

With the Groups Recover Together app, you can now enjoy the benefits of the program, on-the-go or from the comfort of your own home. That means interacting with counselors who will help you make a deep personal transformation, working with physicians who will help you safely manage your medication, attending weekly group therapy sessions where you will truly learn the importance of “recovering together” and of course, working with your peers who know what you’re going through and will cheer for your success. Whether you’re participating through the app or in person at one of Groups’ physical locations, all it takes is one hour per week for you to get your life back on track. That’s a small commitment that could have a huge impact on your life.

Download the app to get started, join Group meetings, or manage your care plan.",4,10,"125.53M","N/A","N/A","2022-05-08","1.4.24","17+","https://apps.apple.com/us/app/groups-recover-together/id1546116496?uo=4",0
"COR-12 for Opioid Addiction","BookMobile","N/A","com.bookmobile.cor12","PLEASE NOTE: This app is used by health care organizations and treatment centers with their clients. You will need a password supplied by an organization to access the content in this app. If you do not have a password from a sponsoring organization, please consider the Field Guide to Life app without the lock on the icon.

Features of the app include:
• Daily guidance and inspiration: A full year of inspirational messages and activities are geared for those in recovery from opioid use disorder.
• Favorites and share: Save and retrieve your favorite daily messages and share them with a friend.
• Daily reminders: Set the time of day to receive a notification to read the daily message.
• Videos: Hear positive messages from recovery experts and others in the COR-12 program.
• Sober counter: Enter your sober birthday so you can view your sober stats anytime you open the app.
• Stop cravings, stay motivated: Upload images of family, friends, passions, and whatever else keeps you motivated in order to help stop cravings.
• Progress tracker: Track your obstacles in recovery such as stress, anger, and anxiety. Also track the ways you tackle those challenges such as meditation, honesty, and exercise.
• Your support system: Reach out to your support system, such as a sponsor, at the touch of the SOS button.
• Relapse prevention: Know what causes relapse and create a response plan to avoid it.

What is COR-12?
In 2012, under the leadership of the Hazelden Betty Ford Foundation’s chief medical officer, Marv Seppala, MD, a new treatment protocol was designed to address the specific needs of opioid-dependent patients. The new protocol, Comprehensive Opioid Response with the Twelve Steps, or COR-12, embraces the latest and best research that indicated certain medications can be used to improve treatment engagement and future recovery outcomes for people with opioid use disorders.

Hazelden Publishing, a division of the Hazelden Betty Ford Foundation, offers a comprehensive solution set to professional organizations to address the opioid epidemic by mobilizing best practices from the COR-12 treatment and recovery approach for their own patients and clients. The COR-12 app is the recovery support component of that solution set.",5,0,"11.13M","N/A","N/A","2021-11-01","1.0.8","12+","https://apps.apple.com/us/app/cor-12-for-opioid-addiction/id992580777?uo=4",0
"eOpioid™ : Opioids & Opiates Calculator","SentientWare","N/A","com.sentientware.eopioid","INTRODUCTION
eOpioid™ is a sophisticated application with a suite of different functions that can perform complicated opioid pain medication dose calculations.  It can assist healthcare professionals determine proper doses of different opioid pain medicines for patients who may already be using opioids or are opioid tolerant.

(Opioids are sometimes also referred to as opiates or narcotics.)

POWER
Other conventional opioid dose calculators may use the traditional method of simply converting the number of milligrams of one opioid to the number of milligrams of another opioid using a single conversion factor.

eOpioid™, however, is able to produce more complicated calculations for opioids such as methadone or levorphanol, in which the equianalgesic dose is actually not a single value, but a relatively large range of possible values.

VERSATILITY
eOpioid™ not only calculates the number of milligrams for the new, replacement opioid of interest, but searches its database for the replacement opioid's available different sizes of tablets or patches and available dosing time intervals.  It can then display the new opioid dose in terms of a potentially more useful output, such as “morphine ER 30 mg tablet, 1 orally q 8 hours”, rather than just stating “morphine 90 mg”.

An almost unlimited number of separate opioids that a patient may be using can be entered for consideration.  If a patient is simultaneously using many different opioids such as morphine, oxycodone, hydromorphone, etc, these can all be entered.

EXTENSIVE
eOpioid™ has additional functionality to assist clinicians choose appropriate settings for Patient-Controlled Analgesia devices for IV opioids, such as for morphine, hydromorphone, and fentanyl for patients who may be opioid-tolerant.

eOpioid™ has an extensive database of both long-acting and short-acting opioids.  It can assist you in determining the doses for a regimen consisting of a long-acting opioid to be given around-the-clock with a short-acting opioid to be given on an as-needed basis (i.e. “PRN”).

FORM FOLLOWS FUNCTION
Even with the multitude of different features offered with eOpioid™, its interface is refreshingly clean and logical.  It was designed to be intuitive and is a true example of form following function.



Please note that this software is not capable of performing medical consultations.  eOpioid™ is an informational tool only and should only be used by specialized healthcare professionals.  You are required to read the extensive help documentation within eOpioid™ to ensure a thorough understanding of the Software's capabilities and limitations.

© SentientWare, LLC, 2009. All Rights Reserved.  Protected by copyright and licenses restricting use, copying, distribution and decompilation.  eOpioid™ and SentientWare™ are trademarks of SentientWare, LLC in the United States and other countries.",4.375,8,"5.18M","N/A","N/A","2015-09-18","1.08","17+","https://apps.apple.com/us/app/eopioid-opioids-opiates-calculator/id329470252?uo=4",4.99
"Confidant: Healthy Habits","Confidant Health","N/A","live.safeopioidusecoalition.confidant","When you or someone you love is using drugs or alcohol, it can be hard to get help. 

Confidant is something new and different in addiction recovery.

Most addiction recovery clinics focus on 12-step based abstinence-focused sobriety. For many people, that path is outdated and doesn’t fit the lifestyle of those who haven’t hit “rock bottom”. 

We know there are millions of people, like us, who want to change the way they’re using drugs and alcohol without having to put their life on hold by going to drug rehab or an intensive outpatient program for the next 30 days to get sober.

So, we teamed up with modern-recovery researchers and patient advocates to dive into the latest scientific evidence and medical knowledge to uncover the best way to make changes to your alcohol or drug use.

What we found was a simpler way - focused on the person, not just the substance. You should not have have to uproot your life, question every choice you’ve ever made, and become an unrecognizable person. 

Addiction recovery should be person-centered, straightforward and judgment free. Whether that means Medication-Assisted Treatment like Suboxone, Naltrexone, Buprenorphine, etc. or online therapy we support a variety of paths.

Here’s how Confidant works:

- Download the app
- Start ReVAMP- our behavior change platform
- Speak with providers who can help you in 1:1 therapy
- Book online therapy appointments right in the app
- Meet with healthcare providers on your phone (they can help with Suboxone, Naltrexone, Buprenorphine, etc. if appropriate)

We provide everyone who uses Confidant access to a Matchmaker, who acts as your personal concierge and can answer any questions you may have and get you connected to all these resources.

Not interested in talking with someone about this yet? We get it. Talking about substance use is hard and it takes time to build trust. That’s why we created ReVAMP to guide you.

ReVAMP is our DIY behavior change program. Simply answer questions about your goals, activities and feelings and it will help you identify your core values. Next ReVAMP produces a personalized plan to help you unlock your best self by drinking less, using drugs less or quitting altogether.

At Confidant, we don’t judge. We’re here to help you and that’s it. 

Confidant Health is perfect if you want to:

- Drink less
- Quit drinking
- Get sober
- Use drugs less
- Quit drugs
- Connect with a Recovery Coach
- Consider sobriety
- Learn about Substance Use Disorder (SUD), Alcohol Use Disorder (AUD) or Opioid Use Disorder (OUD)
- Get online therapy
- Receive Medication-Assisted Treatment (MAT)
- Receive Suboxone, Naltrexone, Buprenorphine, etc.
- Join an online addiction recovery support group
- Explore online rehab or virtual addiction recovery services
- Educate yourself on addiction recovery including AA, NA, holistic therapy, evidence-based approaches and beyond.
- Something more than a drink tracker, sobriety tracker or habit tracker
- Online alternative to addiction treatment centers
- Learn about medications for opioid use
- Learn about medications for alcohol use
- Just feel better!

Who will be helping you at Confidant Health?

You may connect with prescribers who can help with Medication-Assisted Treatment (MAT) using Suboxone, Naltrexone, Buprenorphine and others. 

We also have addiction recovery coaches who can help you better understand your relationship to drugs, alcohol and/or your own journey through their own lived experience. 

Confidant Health also has therapists ready to discuss addiction recovery from just using drugs less or drinking less all the way to sobriety. Regardless of your own journey Confidant Health is judgment free and can help you attain your mental health goals.

Download the app. Give us a try and let us know what you think.",4.59459,37,"73.96M","N/A","N/A","2022-05-07","2.1.15","17+","https://apps.apple.com/us/app/confidant-healthy-habits/id1478727129?uo=4",0
"Day by Day Meditations","BookMobile","N/A","com.bookmobile.iphone.daybyday","More than a million people have relied on the words of Day by Day as an essential source of inspiration, spirituality, and mindfulness for their ongoing health and wellness. Reinforcing the Twelve Step principles of Narcotics Anonymous, each thought of the day in this classic collection fosters the coping skills, insights, and spiritual growth that have helped people around the world find freedom from drug dependency and addiction.

Each daily message includes a reading, a question, and a prayer. Also included every day is an interactive “sentence starter” to help you think about and relate the daily topic to your own life. Use this as inspiration for journal writing or discussions, or type your thoughts right into the app.

The Day by Day app also includes lists of the Twelve Steps and Twelve Traditions as well as the Prayer of Saint Francis.

Features:
PRESS the “Today” button to access today’s reading.
SWIPE forward or back to easily access more daily readings.
TYPE and save your answers to the daily sentence starters.
SHARE the daily reading with friends by e-mail or text.
BOOKMARK your favorite meditations (press the star in the upper right-hand corner) and easily return to them (press the star in the bottom toolbar).
SEARCH all 366 daily readings.
RECEIVE a notification every day to remind you to read the daily meditation.
JUMP to a specific reading using the calendar button.
SET your font size using your device settings.
CHOOSE between light or dark mode.",4.92593,135,"36.57M","N/A","N/A","2021-08-23","2.0.11","4+","https://apps.apple.com/us/app/day-by-day-meditations/id532331192?uo=4",5.99
"Bicycle Health","Bicycle Health","N/A","com.bicyclehealth.patient.app","Bicycle Health is a digital health start-up that offers online Medication for Addiction Treatment (MAT) for individuals with Opioid Use Disorder.  

The Opioid Epidemic is a systemic problem - millions of Americans are physically dependent on Opioids but only 10% of Americans have access to treatment. Bicycle Health is addressing this gap by offering personalized, affordable, and confidential treatment with the goal of helping individuals take back control of their lives.  

What we provide

Medication Management: A licensed provider will perform a via video call assessment and prescribe Buprenorphine - Naloxone, if appropriate and help taper it down over time. 

Counseling: Patients often have co-occurring depression, anxiety, trauma, etc. Our mental health providers have 1-1 video calls with patients to support their behavioral health needs.

Support Groups: Our free Support Groups offer a platform for patients to share their journeys with others, support others, and reflect on ways to achieve emotional growth.

Care Coordination: Through constant communication, our health coaches help patients navigate treatment and life changes as a partner, mentor, and support system.

Our Difference:

We don’t take a ‘one size fits all’ approach. Our philosophy is centered around harm reduction - we cater care plans to meet each patient at their point of need.

Same day appointments. Patients can start our program as soon as they are ready. 

We outreach to your patients. Just call, text, or email us if a patient or someone you know is in need of treatment. We will take care of the rest.

Easy access. Patients can reach their doctor anytime, anywhere via text, chat, email, video, or phone and get a response within minutes.

Affordable care. We accept United, Medicare, Cigna, Aetna, and Blue Shield of California (PPO). We also offer a self pay rate of $199/month.


Progress and Outcomes: We have been live since Jan 2019, with positive outcomes:

-2,000+ patients served across the U.S. We are launching in new states weekly - check with us to see if we are available in your region!
-85% abstinence in drug use
-60% improvement in motivation, depression, and patient stress.

Our Technology: 

The Bicycle Health mobile application is the primary treatment portal for our patients. Our patients can use our application to conduct video visits with their provider, view and reschedule upcoming appointments, view prescriptions and request refills, access treatment documents, submit toxicology screens, modify billing preferences, and communicate with our care team via secure messaging. 

For more information and patient resources, please visit our website at: https://www.bicyclehealth.com/

NOTE: Our application on its own is not intended to provide medical advice; rather, it is designed to communicate the guidance of your medical provider. Please always follow the direction of your medical provider before making medical decisions.",4.30952,42,"125.47M","N/A","N/A","2022-05-13","1.1.2","17+","https://apps.apple.com/us/app/bicycle-health/id1560854220?uo=4",0
"Drug Addiction Test","Inquiry Health LLC","N/A","com.drug.addiction","Concerned about your substance use? This app helps you evaluate whether or not you may be addicted to drugs. It uses the Drug Abuse Screening Test, a validated screening questionnaire. 

Drug Addiction AKA Substance Abuse is a mental health disorder characterized by compulsive drug seeking & usage despite significant adverse consequences. 

While there are millions of drugs out there, the most common addictive drugs are opioids, tobacco, alcohol, marijuana, cocaine, heroin, benzodiazepines, and stimulants. 

Drug addiction is not a moral failure, but rather a disease that can be effectively treated with psychotherapy and medication, either inpatient or outpatient dependent on the severity. 

If you are concerned about your drug usage, it is important to seek treatment as soon as possible. Nearly 10% of the US population would benefit from treatment for a drug or alcohol use problem. Talk to your physician about treatment options. 

Disclaimer: This is NOT a diagnostic test. Please consult a mental health professional if you are concerned about your drug use. 

Skinner, H. A. (1982). The drug abuse screening test. Addictive behaviors, 7(4), 363-371.",4.7,10,"0.78M","N/A","N/A","2021-05-10","1.0.1","12+","https://apps.apple.com/us/app/drug-addiction-test/id1533201943?uo=4",0
